County,State,Count,Critical,High,Low,Medium,tooltip
Adams,Wisconsin,1,1,0,0,0,"County: Adams, Wisconsin<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Addison,Vermont,4,0,1,0,3,"County: Addison, Vermont<br>Total Accidents: 4<br>Critical: 0<br>High: 1<br>Medium: 3<br>Low: 0"
Aiken,South Carolina,554,2,52,6,494,"County: Aiken, South Carolina<br>Total Accidents: 554<br>Critical: 2<br>High: 52<br>Medium: 494<br>Low: 6"
Aitkin,Minnesota,37,0,1,0,36,"County: Aitkin, Minnesota<br>Total Accidents: 37<br>Critical: 0<br>High: 1<br>Medium: 36<br>Low: 0"
Alachua,Florida,361,8,62,1,290,"County: Alachua, Florida<br>Total Accidents: 361<br>Critical: 8<br>High: 62<br>Medium: 290<br>Low: 1"
Alamance,North Carolina,97,9,21,2,65,"County: Alamance, North Carolina<br>Total Accidents: 97<br>Critical: 9<br>High: 21<br>Medium: 65<br>Low: 2"
Alameda,California,6445,43,2025,102,4275,"County: Alameda, California<br>Total Accidents: 6445<br>Critical: 43<br>High: 2025<br>Medium: 4275<br>Low: 102"
Alamosa,Colorado,4,1,0,0,3,"County: Alamosa, Colorado<br>Total Accidents: 4<br>Critical: 1<br>High: 0<br>Medium: 3<br>Low: 0"
Albany,New York,882,17,294,6,565,"County: Albany, New York<br>Total Accidents: 882<br>Critical: 17<br>High: 294<br>Medium: 565<br>Low: 6"
Albany,Wyoming,28,3,1,0,24,"County: Albany, Wyoming<br>Total Accidents: 28<br>Critical: 3<br>High: 1<br>Medium: 24<br>Low: 0"
Albemarle,Virginia,287,35,48,0,204,"County: Albemarle, Virginia<br>Total Accidents: 287<br>Critical: 35<br>High: 48<br>Medium: 204<br>Low: 0"
Alexander,Illinois,1,0,0,0,1,"County: Alexander, Illinois<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Alexander,North Carolina,12,4,0,0,8,"County: Alexander, North Carolina<br>Total Accidents: 12<br>Critical: 4<br>High: 0<br>Medium: 8<br>Low: 0"
Alexandria,Virginia,218,4,92,1,121,"County: Alexandria, Virginia<br>Total Accidents: 218<br>Critical: 4<br>High: 92<br>Medium: 121<br>Low: 1"
Alexandria (City),Virginia,39,0,2,0,37,"County: Alexandria (City), Virginia<br>Total Accidents: 39<br>Critical: 0<br>High: 2<br>Medium: 37<br>Low: 0"
Alexandria City,Virginia,1,0,0,0,1,"County: Alexandria City, Virginia<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Allegan,Michigan,63,15,4,0,44,"County: Allegan, Michigan<br>Total Accidents: 63<br>Critical: 15<br>High: 4<br>Medium: 44<br>Low: 0"
Allegany,Maryland,52,10,10,0,32,"County: Allegany, Maryland<br>Total Accidents: 52<br>Critical: 10<br>High: 10<br>Medium: 32<br>Low: 0"
Allegany,New York,7,1,0,0,6,"County: Allegany, New York<br>Total Accidents: 7<br>Critical: 1<br>High: 0<br>Medium: 6<br>Low: 0"
Alleghany,North Carolina,2,0,0,0,2,"County: Alleghany, North Carolina<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Alleghany,Virginia,44,9,6,0,29,"County: Alleghany, Virginia<br>Total Accidents: 44<br>Critical: 9<br>High: 6<br>Medium: 29<br>Low: 0"
Allegheny,Pennsylvania,1329,107,318,1,903,"County: Allegheny, Pennsylvania<br>Total Accidents: 1329<br>Critical: 107<br>High: 318<br>Medium: 903<br>Low: 1"
Allen,Indiana,62,15,6,0,41,"County: Allen, Indiana<br>Total Accidents: 62<br>Critical: 15<br>High: 6<br>Medium: 41<br>Low: 0"
Allen,Ohio,21,7,9,0,5,"County: Allen, Ohio<br>Total Accidents: 21<br>Critical: 7<br>High: 9<br>Medium: 5<br>Low: 0"
Allendale,South Carolina,15,0,0,1,14,"County: Allendale, South Carolina<br>Total Accidents: 15<br>Critical: 0<br>High: 0<br>Medium: 14<br>Low: 1"
Alpena,Michigan,1,0,0,0,1,"County: Alpena, Michigan<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Alpine,California,27,0,0,0,27,"County: Alpine, California<br>Total Accidents: 27<br>Critical: 0<br>High: 0<br>Medium: 27<br>Low: 0"
Amador,California,191,1,2,1,187,"County: Amador, California<br>Total Accidents: 191<br>Critical: 1<br>High: 2<br>Medium: 187<br>Low: 1"
Amelia,Virginia,38,8,1,0,29,"County: Amelia, Virginia<br>Total Accidents: 38<br>Critical: 8<br>High: 1<br>Medium: 29<br>Low: 0"
Amherst,Virginia,32,5,1,0,26,"County: Amherst, Virginia<br>Total Accidents: 32<br>Critical: 5<br>High: 1<br>Medium: 26<br>Low: 0"
Amite,Mississippi,1,0,0,0,1,"County: Amite, Mississippi<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Anderson,South Carolina,1539,8,116,31,1384,"County: Anderson, South Carolina<br>Total Accidents: 1539<br>Critical: 8<br>High: 116<br>Medium: 1384<br>Low: 31"
Anderson,Tennessee,24,5,2,0,17,"County: Anderson, Tennessee<br>Total Accidents: 24<br>Critical: 5<br>High: 2<br>Medium: 17<br>Low: 0"
Anderson,Texas,3,2,0,0,1,"County: Anderson, Texas<br>Total Accidents: 3<br>Critical: 2<br>High: 0<br>Medium: 1<br>Low: 0"
Andrew,Missouri,1,0,0,0,1,"County: Andrew, Missouri<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Andrews,Texas,2,2,0,0,0,"County: Andrews, Texas<br>Total Accidents: 2<br>Critical: 2<br>High: 0<br>Medium: 0<br>Low: 0"
Androscoggin,Maine,10,2,1,0,7,"County: Androscoggin, Maine<br>Total Accidents: 10<br>Critical: 2<br>High: 1<br>Medium: 7<br>Low: 0"
Angelina,Texas,5,0,0,0,5,"County: Angelina, Texas<br>Total Accidents: 5<br>Critical: 0<br>High: 0<br>Medium: 5<br>Low: 0"
Anne Arundel,Maryland,758,62,134,5,557,"County: Anne Arundel, Maryland<br>Total Accidents: 758<br>Critical: 62<br>High: 134<br>Medium: 557<br>Low: 5"
Anoka,Minnesota,529,1,97,0,431,"County: Anoka, Minnesota<br>Total Accidents: 529<br>Critical: 1<br>High: 97<br>Medium: 431<br>Low: 0"
Anson,North Carolina,10,3,0,0,7,"County: Anson, North Carolina<br>Total Accidents: 10<br>Critical: 3<br>High: 0<br>Medium: 7<br>Low: 0"
Antelope,Nebraska,3,1,0,0,2,"County: Antelope, Nebraska<br>Total Accidents: 3<br>Critical: 1<br>High: 0<br>Medium: 2<br>Low: 0"
Antrim,Michigan,9,1,2,0,6,"County: Antrim, Michigan<br>Total Accidents: 9<br>Critical: 1<br>High: 2<br>Medium: 6<br>Low: 0"
Apache,Arizona,107,7,14,0,86,"County: Apache, Arizona<br>Total Accidents: 107<br>Critical: 7<br>High: 14<br>Medium: 86<br>Low: 0"
Appanoose,Iowa,1,1,0,0,0,"County: Appanoose, Iowa<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Appling,Georgia,1,0,0,0,1,"County: Appling, Georgia<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Appomattox,Virginia,15,5,0,0,10,"County: Appomattox, Virginia<br>Total Accidents: 15<br>Critical: 5<br>High: 0<br>Medium: 10<br>Low: 0"
Arapahoe,Colorado,489,18,125,11,335,"County: Arapahoe, Colorado<br>Total Accidents: 489<br>Critical: 18<br>High: 125<br>Medium: 335<br>Low: 11"
Archer,Texas,1,0,0,0,1,"County: Archer, Texas<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Archuleta,Colorado,6,1,0,0,5,"County: Archuleta, Colorado<br>Total Accidents: 6<br>Critical: 1<br>High: 0<br>Medium: 5<br>Low: 0"
Arenac,Michigan,8,2,0,0,6,"County: Arenac, Michigan<br>Total Accidents: 8<br>Critical: 2<br>High: 0<br>Medium: 6<br>Low: 0"
Arkansas,Arkansas,4,2,0,0,2,"County: Arkansas, Arkansas<br>Total Accidents: 4<br>Critical: 2<br>High: 0<br>Medium: 2<br>Low: 0"
Arlington,Virginia,471,9,128,1,333,"County: Arlington, Virginia<br>Total Accidents: 471<br>Critical: 9<br>High: 128<br>Medium: 333<br>Low: 1"
Armstrong,Pennsylvania,17,6,0,0,11,"County: Armstrong, Pennsylvania<br>Total Accidents: 17<br>Critical: 6<br>High: 0<br>Medium: 11<br>Low: 0"
Armstrong,Texas,1,0,0,0,1,"County: Armstrong, Texas<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Aroostook,Maine,3,0,0,0,3,"County: Aroostook, Maine<br>Total Accidents: 3<br>Critical: 0<br>High: 0<br>Medium: 3<br>Low: 0"
Ascension,Louisiana,40,7,16,1,16,"County: Ascension, Louisiana<br>Total Accidents: 40<br>Critical: 7<br>High: 16<br>Medium: 16<br>Low: 1"
Ashe,North Carolina,1,0,0,0,1,"County: Ashe, North Carolina<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Ashland,Ohio,5,0,1,0,4,"County: Ashland, Ohio<br>Total Accidents: 5<br>Critical: 0<br>High: 1<br>Medium: 4<br>Low: 0"
Ashley,Arkansas,8,3,0,0,5,"County: Ashley, Arkansas<br>Total Accidents: 8<br>Critical: 3<br>High: 0<br>Medium: 5<br>Low: 0"
Ashtabula,Ohio,7,1,3,0,3,"County: Ashtabula, Ohio<br>Total Accidents: 7<br>Critical: 1<br>High: 3<br>Medium: 3<br>Low: 0"
Asotin,Washington,1,1,0,0,0,"County: Asotin, Washington<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Atascosa,Texas,2,0,1,0,1,"County: Atascosa, Texas<br>Total Accidents: 2<br>Critical: 0<br>High: 1<br>Medium: 1<br>Low: 0"
Atchison,Missouri,2,0,0,0,2,"County: Atchison, Missouri<br>Total Accidents: 2<br>Critical: 0<br>High: 0<br>Medium: 2<br>Low: 0"
Athens,Ohio,9,2,0,0,7,"County: Athens, Ohio<br>Total Accidents: 9<br>Critical: 2<br>High: 0<br>Medium: 7<br>Low: 0"
Atlantic,New Jersey,171,18,10,2,141,"County: Atlantic, New Jersey<br>Total Accidents: 171<br>Critical: 18<br>High: 10<br>Medium: 141<br>Low: 2"
Atoka,Oklahoma,1,1,0,0,0,"County: Atoka, Oklahoma<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Audrain,Missouri,1,1,0,0,0,"County: Audrain, Missouri<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Audubon,Iowa,1,0,0,0,1,"County: Audubon, Iowa<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Auglaize,Ohio,5,2,2,0,1,"County: Auglaize, Ohio<br>Total Accidents: 5<br>Critical: 2<br>High: 2<br>Medium: 1<br>Low: 0"
Augusta,Virginia,336,48,64,0,224,"County: Augusta, Virginia<br>Total Accidents: 336<br>Critical: 48<br>High: 64<br>Medium: 224<br>Low: 0"
Austin,Texas,2,1,1,0,0,"County: Austin, Texas<br>Total Accidents: 2<br>Critical: 1<br>High: 1<br>Medium: 0<br>Low: 0"
Autauga,Alabama,93,3,14,1,75,"County: Autauga, Alabama<br>Total Accidents: 93<br>Critical: 3<br>High: 14<br>Medium: 75<br>Low: 1"
Avery,North Carolina,10,0,0,0,10,"County: Avery, North Carolina<br>Total Accidents: 10<br>Critical: 0<br>High: 0<br>Medium: 10<br>Low: 0"
Baca,Colorado,6,1,3,0,2,"County: Baca, Colorado<br>Total Accidents: 6<br>Critical: 1<br>High: 3<br>Medium: 2<br>Low: 0"
Bacon,Georgia,1,0,0,0,1,"County: Bacon, Georgia<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Bailey,Texas,2,2,0,0,0,"County: Bailey, Texas<br>Total Accidents: 2<br>Critical: 2<br>High: 0<br>Medium: 0<br>Low: 0"
Baker,Florida,73,5,22,1,45,"County: Baker, Florida<br>Total Accidents: 73<br>Critical: 5<br>High: 22<br>Medium: 45<br>Low: 1"
Baker,Georgia,3,1,0,0,2,"County: Baker, Georgia<br>Total Accidents: 3<br>Critical: 1<br>High: 0<br>Medium: 2<br>Low: 0"
Baker,Oregon,236,14,13,0,209,"County: Baker, Oregon<br>Total Accidents: 236<br>Critical: 14<br>High: 13<br>Medium: 209<br>Low: 0"
Baldwin,Alabama,182,6,51,0,125,"County: Baldwin, Alabama<br>Total Accidents: 182<br>Critical: 6<br>High: 51<br>Medium: 125<br>Low: 0"
Baldwin,Georgia,10,3,0,0,7,"County: Baldwin, Georgia<br>Total Accidents: 10<br>Critical: 3<br>High: 0<br>Medium: 7<br>Low: 0"
Baltimore,Maryland,273,24,9,1,239,"County: Baltimore, Maryland<br>Total Accidents: 273<br>Critical: 24<br>High: 9<br>Medium: 239<br>Low: 1"
Baltimore (City),Maryland,92,8,6,4,74,"County: Baltimore (City), Maryland<br>Total Accidents: 92<br>Critical: 8<br>High: 6<br>Medium: 74<br>Low: 4"
Baltimore City,Maryland,563,19,177,1,366,"County: Baltimore City, Maryland<br>Total Accidents: 563<br>Critical: 19<br>High: 177<br>Medium: 366<br>Low: 1"
Baltimore County,Maryland,1198,69,384,2,743,"County: Baltimore County, Maryland<br>Total Accidents: 1198<br>Critical: 69<br>High: 384<br>Medium: 743<br>Low: 2"
Bamberg,South Carolina,39,0,1,0,38,"County: Bamberg, South Carolina<br>Total Accidents: 39<br>Critical: 0<br>High: 1<br>Medium: 38<br>Low: 0"
Banks,Georgia,25,4,5,0,16,"County: Banks, Georgia<br>Total Accidents: 25<br>Critical: 4<br>High: 5<br>Medium: 16<br>Low: 0"
Banner,Nebraska,1,0,0,0,1,"County: Banner, Nebraska<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Bannock,Idaho,19,1,0,0,18,"County: Bannock, Idaho<br>Total Accidents: 19<br>Critical: 1<br>High: 0<br>Medium: 18<br>Low: 0"
Barbour,Alabama,12,0,0,0,12,"County: Barbour, Alabama<br>Total Accidents: 12<br>Critical: 0<br>High: 0<br>Medium: 12<br>Low: 0"
Barnes,North Dakota,17,0,0,0,17,"County: Barnes, North Dakota<br>Total Accidents: 17<br>Critical: 0<br>High: 0<br>Medium: 17<br>Low: 0"
Barnstable,Massachusetts,78,1,3,5,69,"County: Barnstable, Massachusetts<br>Total Accidents: 78<br>Critical: 1<br>High: 3<br>Medium: 69<br>Low: 5"
Barnwell,South Carolina,56,1,0,1,54,"County: Barnwell, South Carolina<br>Total Accidents: 56<br>Critical: 1<br>High: 0<br>Medium: 54<br>Low: 1"
Barron,Wisconsin,2,1,0,0,1,"County: Barron, Wisconsin<br>Total Accidents: 2<br>Critical: 1<br>High: 0<br>Medium: 1<br>Low: 0"
Barrow,Georgia,24,2,5,0,17,"County: Barrow, Georgia<br>Total Accidents: 24<br>Critical: 2<br>High: 5<br>Medium: 17<br>Low: 0"
Barry,Michigan,11,7,0,0,4,"County: Barry, Michigan<br>Total Accidents: 11<br>Critical: 7<br>High: 0<br>Medium: 4<br>Low: 0"
Bartholomew,Indiana,71,4,9,0,58,"County: Bartholomew, Indiana<br>Total Accidents: 71<br>Critical: 4<br>High: 9<br>Medium: 58<br>Low: 0"
Barton,Missouri,2,0,1,0,1,"County: Barton, Missouri<br>Total Accidents: 2<br>Critical: 0<br>High: 1<br>Medium: 1<br>Low: 0"
Bartow,Georgia,89,8,29,0,52,"County: Bartow, Georgia<br>Total Accidents: 89<br>Critical: 8<br>High: 29<br>Medium: 52<br>Low: 0"
Bastrop,Texas,10,2,0,0,8,"County: Bastrop, Texas<br>Total Accidents: 10<br>Critical: 2<br>High: 0<br>Medium: 8<br>Low: 0"
Bates,Missouri,1,0,0,0,1,"County: Bates, Missouri<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Bath,Virginia,1,0,0,0,1,"County: Bath, Virginia<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Baxter,Arkansas,5,2,0,0,3,"County: Baxter, Arkansas<br>Total Accidents: 5<br>Critical: 2<br>High: 0<br>Medium: 3<br>Low: 0"
Bay,Florida,226,2,0,2,222,"County: Bay, Florida<br>Total Accidents: 226<br>Critical: 2<br>High: 0<br>Medium: 222<br>Low: 2"
Bay,Michigan,45,9,5,0,31,"County: Bay, Michigan<br>Total Accidents: 45<br>Critical: 9<br>High: 5<br>Medium: 31<br>Low: 0"
Beadle,South Dakota,1,1,0,0,0,"County: Beadle, South Dakota<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Bear Lake,Idaho,3,0,0,0,3,"County: Bear Lake, Idaho<br>Total Accidents: 3<br>Critical: 0<br>High: 0<br>Medium: 3<br>Low: 0"
Beaufort,North Carolina,11,4,0,0,7,"County: Beaufort, North Carolina<br>Total Accidents: 11<br>Critical: 4<br>High: 0<br>Medium: 7<br>Low: 0"
Beaufort,South Carolina,309,1,1,1,306,"County: Beaufort, South Carolina<br>Total Accidents: 309<br>Critical: 1<br>High: 1<br>Medium: 306<br>Low: 1"
Beaver,Pennsylvania,57,12,10,0,35,"County: Beaver, Pennsylvania<br>Total Accidents: 57<br>Critical: 12<br>High: 10<br>Medium: 35<br>Low: 0"
Beaver,Utah,38,0,4,0,34,"County: Beaver, Utah<br>Total Accidents: 38<br>Critical: 0<br>High: 4<br>Medium: 34<br>Low: 0"
Beaverhead,Montana,12,0,0,0,12,"County: Beaverhead, Montana<br>Total Accidents: 12<br>Critical: 0<br>High: 0<br>Medium: 12<br>Low: 0"
Becker,Minnesota,60,0,1,2,57,"County: Becker, Minnesota<br>Total Accidents: 60<br>Critical: 0<br>High: 1<br>Medium: 57<br>Low: 2"
Bedford,Pennsylvania,119,9,20,0,90,"County: Bedford, Pennsylvania<br>Total Accidents: 119<br>Critical: 9<br>High: 20<br>Medium: 90<br>Low: 0"
Bedford,Tennessee,3,1,0,0,2,"County: Bedford, Tennessee<br>Total Accidents: 3<br>Critical: 1<br>High: 0<br>Medium: 2<br>Low: 0"
Bedford,Virginia,21,5,0,0,16,"County: Bedford, Virginia<br>Total Accidents: 21<br>Critical: 5<br>High: 0<br>Medium: 16<br>Low: 0"
Bedford County,Virginia,70,18,2,1,49,"County: Bedford County, Virginia<br>Total Accidents: 70<br>Critical: 18<br>High: 2<br>Medium: 49<br>Low: 1"
Belknap,New Hampshire,32,0,3,2,27,"County: Belknap, New Hampshire<br>Total Accidents: 32<br>Critical: 0<br>High: 3<br>Medium: 27<br>Low: 2"
Bell,Kentucky,2,1,0,0,1,"County: Bell, Kentucky<br>Total Accidents: 2<br>Critical: 1<br>High: 0<br>Medium: 1<br>Low: 0"
Bell,Texas,23,2,12,0,9,"County: Bell, Texas<br>Total Accidents: 23<br>Critical: 2<br>High: 12<br>Medium: 9<br>Low: 0"
Belmont,Ohio,13,1,3,0,9,"County: Belmont, Ohio<br>Total Accidents: 13<br>Critical: 1<br>High: 3<br>Medium: 9<br>Low: 0"
Beltrami,Minnesota,50,0,2,0,48,"County: Beltrami, Minnesota<br>Total Accidents: 50<br>Critical: 0<br>High: 2<br>Medium: 48<br>Low: 0"
Ben Hill,Georgia,2,1,0,0,1,"County: Ben Hill, Georgia<br>Total Accidents: 2<br>Critical: 1<br>High: 0<br>Medium: 1<br>Low: 0"
Benewah,Idaho,1,0,0,0,1,"County: Benewah, Idaho<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Bennington,Vermont,3,0,0,0,3,"County: Bennington, Vermont<br>Total Accidents: 3<br>Critical: 0<br>High: 0<br>Medium: 3<br>Low: 0"
Benson,North Dakota,1,0,0,0,1,"County: Benson, North Dakota<br>Total Accidents: 1<br>Critical: 0<br>High: 0<br>Medium: 1<br>Low: 0"
Bent,Colorado,3,1,0,0,2,"County: Bent, Colorado<br>Total Accidents: 3<br>Critical: 1<br>High: 0<br>Medium: 2<br>Low: 0"
Benton,Arkansas,60,6,1,0,53,"County: Benton, Arkansas<br>Total Accidents: 60<br>Critical: 6<br>High: 1<br>Medium: 53<br>Low: 0"
Benton,Indiana,1,1,0,0,0,"County: Benton, Indiana<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Benton,Iowa,11,2,2,0,7,"County: Benton, Iowa<br>Total Accidents: 11<br>Critical: 2<br>High: 2<br>Medium: 7<br>Low: 0"
Benton,Minnesota,69,1,1,1,66,"County: Benton, Minnesota<br>Total Accidents: 69<br>Critical: 1<br>High: 1<br>Medium: 66<br>Low: 1"
Benton,Oregon,64,5,0,0,59,"County: Benton, Oregon<br>Total Accidents: 64<br>Critical: 5<br>High: 0<br>Medium: 59<br>Low: 0"
Benton,Tennessee,5,1,1,0,3,"County: Benton, Tennessee<br>Total Accidents: 5<br>Critical: 1<br>High: 1<br>Medium: 3<br>Low: 0"
Benton,Washington,3,1,1,0,1,"County: Benton, Washington<br>Total Accidents: 3<br>Critical: 1<br>High: 1<br>Medium: 1<br>Low: 0"
Benzie,Michigan,2,1,0,0,1,"County: Benzie, Michigan<br>Total Accidents: 2<br>Critical: 1<br>High: 0<br>Medium: 1<br>Low: 0"
Bergen,New Jersey,1194,24,206,1,963,"County: Bergen, New Jersey<br>Total Accidents: 1194<br>Critical: 24<br>High: 206<br>Medium: 963<br>Low: 1"
Berkeley,South Carolina,891,5,103,11,772,"County: Berkeley, South Carolina<br>Total Accidents: 891<br>Critical: 5<br>High: 103<br>Medium: 772<br>Low: 11"
Berkeley,West Virginia,84,4,4,0,76,"County: Berkeley, West Virginia<br>Total Accidents: 84<br>Critical: 4<br>High: 4<br>Medium: 76<br>Low: 0"
Berks,Pennsylvania,385,37,37,1,310,"County: Berks, Pennsylvania<br>Total Accidents: 385<br>Critical: 37<br>High: 37<br>Medium: 310<br>Low: 1"
Berkshire,Massachusetts,10,0,3,0,7,"County: Berkshire, Massachusetts<br>Total Accidents: 10<br>Critical: 0<br>High: 3<br>Medium: 7<br>Low: 0"
Bernalillo,New Mexico,453,8,149,10,286,"County: Bernalillo, New Mexico<br>Total Accidents: 453<br>Critical: 8<br>High: 149<br>Medium: 286<br>Low: 10"
Berrien,Georgia,5,2,0,0,3,"County: Berrien, Georgia<br>Total Accidents: 5<br>Critical: 2<br>High: 0<br>Medium: 3<br>Low: 0"
Berrien,Michigan,110,18,26,0,66,"County: Berrien, Michigan<br>Total Accidents: 110<br>Critical: 18<br>High: 26<br>Medium: 66<br>Low: 0"
Bertie,North Carolina,5,1,0,0,4,"County: Bertie, North Carolina<br>Total Accidents: 5<br>Critical: 1<br>High: 0<br>Medium: 4<br>Low: 0"
Bexar,Texas,2440,22,568,16,1834,"County: Bexar, Texas<br>Total Accidents: 2440<br>Critical: 22<br>High: 568<br>Medium: 1834<br>Low: 16"
Bibb,Alabama,9,1,0,0,8,"County: Bibb, Alabama<br>Total Accidents: 9<br>Critical: 1<br>High: 0<br>Medium: 8<br>Low: 0"
Bibb,Georgia,81,10,25,0,46,"County: Bibb, Georgia<br>Total Accidents: 81<br>Critical: 10<br>High: 25<br>Medium: 46<br>Low: 0"
Bienville,Louisiana,6,1,3,0,2,"County: Bienville, Louisiana<br>Total Accidents: 6<br>Critical: 1<br>High: 3<br>Medium: 2<br>Low: 0"
Big Horn,Montana,45,0,0,0,45,"County: Big Horn, Montana<br>Total Accidents: 45<br>Critical: 0<br>High: 0<br>Medium: 45<br>Low: 0"
Billings,North Dakota,3,0,0,0,3,"County: Billings, North Dakota<br>Total Accidents: 3<br>Critical: 0<br>High: 0<br>Medium: 3<br>Low: 0"
Bingham,Idaho,13,1,0,0,12,"County: Bingham, Idaho<br>Total Accidents: 13<br>Critical: 1<br>High: 0<br>Medium: 12<br>Low: 0"
Black Hawk,Iowa,28,2,6,0,20,"County: Black Hawk, Iowa<br>Total Accidents: 28<br>Critical: 2<br>High: 6<br>Medium: 20<br>Low: 0"
Bladen,North Carolina,13,7,0,0,6,"County: Bladen, North Carolina<br>Total Accidents: 13<br>Critical: 7<br>High: 0<br>Medium: 6<br>Low: 0"
Blaine,Montana,3,0,0,0,3,"County: Blaine, Montana<br>Total Accidents: 3<br>Critical: 0<br>High: 0<br>Medium: 3<br>Low: 0"
Blair,Pennsylvania,236,11,7,1,217,"County: Blair, Pennsylvania<br>Total Accidents: 236<br>Critical: 11<br>High: 7<br>Medium: 217<br>Low: 1"
Blanco,Texas,1,1,0,0,0,"County: Blanco, Texas<br>Total Accidents: 1<br>Critical: 1<br>High: 0<br>Medium: 0<br>Low: 0"
Bland,Virginia,33,4,9,0,20,"County: Bland, Virginia<br>Total Accidents: 33<br>Critical: 4<br>High: 9<br>Medium: 20<br>Low: 0"
